Price,Name,Brand,Size,Packaging,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Limitation,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Miss Dior,Dior,1.7,0.45,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Miss Dior,Dior,3.4,0.45,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Miss Dior,Dior,1.7,0.5,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Miss Dior,Dior,3.4,0.5,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,MISS DIOR ABSOLUTELY BLOOMING,Dior,1.7,0.5,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,HYPNOTIC POISON,Dior,1,0.35,1,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,HYPNOTIC POISON,Dior,1.7,0.35,1,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SAUVAGE,Dior,2,0.35,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,SAUVAGE,Dior,3.4,0.35,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,SAUVAGE,Dior,6.8,0.35,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,SAUVAGE EdP,Dior,3.4,0.35,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,SAUVAGE EdP,Dior,6.8,0.35,,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,DIOR HOMME EAU FOR MEN,Dior,1.7,0.35,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,DIOR HOMME EAU FOR MEN,Dior,5,0.35,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Paul Sebastian,Paul Sebastian,1,0.1,,1,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Paul Sebastian,Paul Sebastian,4,0.1,,1,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Design,Paul Sebastian,3.4,0.25,1,,,,1,,,1,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Casual,Paul Sebastian,4,0.2,1,,,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
