Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
92,Men's L'Homme,Yves Saint Laurent,53,3.3,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
93,Fifth Avenue,Elizabeth Arden,119,4.2,0.55,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
94,Candy Night ,Prada,116,1.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
94,Black Opium Intense,Yves Saint Laurent,53,1.6,0.7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
95,BLEU DE CHANEL Eau de Toilette,Chanel,119,3.4,0.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
95,DIOR HOMME EAU FOR MEN,Dior,73,3.4,0.35,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
95,Gucci Guilty Black,Gucci,108,2.5,0.55,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
95,Bright Crystal,Versace,41,3,0.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
95,Yves Saint Laurent Y,Yves Saint Laurent,53,3.3,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
96,Juicy Couture,Juicy Couture,24,3.4,0.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
98,Burberry For Women,Burberry,163,3.3,0.5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
98,Eau Rose Eau de Toilette,Diptqyue,58,1.7,0.2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
98,La Femme Prada,Prada,116,1.7,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
99,My Burberry Eau de Parfum,Burberry,163,1.7,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
99,Rose Goldea,BVLGARI,135,1.7,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
99,Viva La Juicy,Juicy Couture,24,3.4,0.7,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
100,Calvin Klain Beauty,CK,51,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100,Miss Dior,Dior,73,1.7,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,L'Homme Prada L'Eau Men's,Prada,116,3.4,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
100,Aura Mugler,Thierry Mugler,45,1.7,0.5,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
102,MISS DIOR BLOOMING BOUQUET,Dior,73,3.4,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,DOLCE&GABBANA Light Blue,Dolce & Gabbana,34,3.3,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
104,Libre,Yves Saint Laurent,53,1.6,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105,COCO NOIR,Chanel,119,1.7,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
106,Daisy Eau de Toilette Spray,Marc Jacobs,35,3.4,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
107,CHANCE EAU TENDRE Eau de Toilette,Chanel,119,3.4,0.3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
109,Her Blossom Eau de Toilette,Burberry,163,3.4,0.15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
110,Light Blue Eau Intense,Dolce & Gabbana,34,3.3,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
114,Rose Goldea Blossom Delight,BVLGARI,135,2.5,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
118,Versace Eros,Versace,41,6.7,0.35,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
120,BLEU DE CHANEL Eau de Parfum,Chanel,119,3.4,0.2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
120,The Only One 2,Dolce & Gabbana,34,3.3,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
120,Dolce Garden,Dolce & Gabbana,34,2.5,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
120,Viva La Juicy Limited,Juicy Couture,24,3.4,0.9,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
120,Versace Eros Pour Femme,Versace,41,3.4,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
120,Men's Y ,Yves Saint Laurent,53,3.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
124,Rose Goldea,BVLGARI,135,3.4,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,Candy Kiss,Prada,116,2.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
124,Black Opium Nuit Blanche,Yves Saint Laurent,53,3,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
124,Mon Paris Floral,Yves Saint Laurent,53,3,0.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
