Price,Name,Brand,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
80,MISS DIOR BLOOMING BOUQUET,Dior,1.7,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Exceptional Because You Are Men,Exceptional Parfums,3.4,0.1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
80,I Am Juicy Couture,Juicy Couture,3.4,0.5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
80,Her Blossom Eau de Toilette,Burberry,1.7,0.15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
80,L'Homme Prada Men's,Prada,1.7,0.6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
82,Versace Man Eau Fraiche,Versace,3.4,0.3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
82,Decadence Eau So Decadent,Marc Jacobs,1.7,0.7,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
84,Burberry Brit Rhythm,Burberry,3.3,0.3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
85,Simply Belle,Exceptional Parfums,3.4,0.25,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
85,Coach Poppy  ,Coach,3.4,0.35,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
86,Daisy Love Eau de Toilette,Marc Jacobs,1.7,0.6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
86,Light Blue Eau Intense,Dolce & Gabbana,1.6,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
86,Omnia Amethyste Candy,BVLGARI,2.2,0.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
88,Versace Dylan Blue,Versace,3.4,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
88,La Femme Prada L'Eau,Prada,1.7,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
89,A*Men,Thierry Mugler,3.4,0.25,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
90,Men's Luna Rossa Carbon,Prada,3.4,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
92,My Burberry Blush,Burberry,1,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
92,Juicy Couture Hollywood Royal,Juicy Couture,5,0.65,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
92,Men's L'Homme,Yves Saint Laurent,3.3,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
93,Fifth Avenue,Elizabeth Arden,4.2,0.55,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
94,Black Opium Intense,Yves Saint Laurent,1.6,0.7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
94,Candy Night ,Prada,1.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
95,Bright Crystal,Versace,3,0.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
95,BLEU DE CHANEL Eau de Toilette,Chanel,3.4,0.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
95,Gucci Guilty Black,Gucci,2.5,0.55,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
95,DIOR HOMME EAU FOR MEN,Dior,3.4,0.35,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
95,Yves Saint Laurent Y,Yves Saint Laurent,3.3,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
96,Juicy Couture,Juicy Couture,3.4,0.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
98,Eau Rose Eau de Toilette,Diptqyue,1.7,0.2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
98,Burberry For Women,Burberry,3.3,0.5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
98,La Femme Prada,Prada,1.7,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
99,My Burberry Eau de Parfum,Burberry,1.7,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
99,Viva La Juicy,Juicy Couture,3.4,0.7,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
99,Rose Goldea,BVLGARI,1.7,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
100,Calvin Klain Beauty,CK,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100,Miss Dior,Dior,1.7,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Aura Mugler,Thierry Mugler,1.7,0.5,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
100,L'Homme Prada L'Eau Men's,Prada,3.4,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
102,MISS DIOR BLOOMING BOUQUET,Dior,3.4,0.45,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,DOLCE&GABBANA Light Blue,Dolce & Gabbana,3.3,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
104,Libre,Yves Saint Laurent,1.6,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105,COCO NOIR,Chanel,1.7,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
106,Daisy Eau de Toilette Spray,Marc Jacobs,3.4,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
107,CHANCE EAU TENDRE Eau de Toilette,Chanel,3.4,0.3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
109,Her Blossom Eau de Toilette,Burberry,3.4,0.15,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
110,Light Blue Eau Intense,Dolce & Gabbana,3.3,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
114,Rose Goldea Blossom Delight,BVLGARI,2.5,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
118,Versace Eros,Versace,6.7,0.35,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
120,Versace Eros Pour Femme,Versace,3.4,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
120,BLEU DE CHANEL Eau de Parfum,Chanel,3.4,0.2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
120,Viva La Juicy Limited,Juicy Couture,3.4,0.9,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1
120,The Only One 2,Dolce & Gabbana,3.3,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
120,Dolce Garden,Dolce & Gabbana,2.5,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
120,Men's Y ,Yves Saint Laurent,3.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
124,Rose Goldea,BVLGARI,3.4,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,Black Opium Nuit Blanche,Yves Saint Laurent,3,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
124,Candy Kiss,Prada,2.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
124,Mon Paris Floral,Yves Saint Laurent,3,0.8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
125,DIOR HOMME EAU FOR MEN,Dior,5,0.35,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
127,My Burberry Eau de Parfum,Burberry,3.3,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
130,Dark Amber & Ginger Lily Cologne Intense,JoMalone,1.7,0.3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
130,J'Adore,Dior,3.4,0.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130,MISS DIOR ABSOLUTELY BLOOMING,Dior,3.4,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130,Juicy Couture Glistening Amber,Juicy Couture,3.4,0.9,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
130,Libre,Yves Saint Laurent,3,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
135,COCO NOIR,Chanel,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
140,Eau Rose Eau de Toilette,Diptqyue,2.5,0.2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
140,Wood Sage & Sea Salt Cologne,JoMalone,3.4,0.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
145,SAUVAGE,Dior,6.8,0.35,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
145,Yves Saint Laurent Y,Yves Saint Laurent,6.7,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
146,SPLENDIDA BVLGARI Jasmin Noir,BVLGARI,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
146,Splendida Magnolia Sensuel,BVLGARI,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
150,bleu de chanel,Chanel,3.4,0.2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
151,Eau des Merveilles Bleue ,Hermes,3.38,0.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
155,Versace Oud Noir,Versace,3.4,0.6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
155,allure homme sport eau extrême,Chanel,5,0.4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
159,"24, Faubourg",Hermes,3.38,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
159,Rose Amazone,Hermes,3.38,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
165,J'Adore,Dior,5,0.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
166,Jour d'Hermes Absolu,Hermes,2.87,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
166,Elixir des Merveilles,Hermes,3.38,0.6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
170,Beyond Rose,Clinique,3.4,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
174,Men's La Nuit de L'homme,Yves Saint Laurent,6.7,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
175,MAGNOLIA ROSAE,LANCOME,3.4,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
175,PIVOINES PRINTEMPS,LANCOME,3.4,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
175,PIVOINE SUZHOU,Giorgio Armani,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
180,SAGAMORE,LANCOME,2.5,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
180,Mediterranean Honeysuckle,EsteeLauder,3.4,0.6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
180,Ikat Jasmine,EsteeLauder,3.4,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
180,Waterlily Sun,EsteeLauder,3.4,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
185,Caleche,Hermes,3.38,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
188,"24, Faubourg",Hermes,3.38,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
190,bleu de chanel,Chanel,5,0.2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
198,PARFAIT DE RÔSES,LANCOME,3.4,0.7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
198,SANTAL KARDAMON,LANCOME,3.4,0.7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
200,Absolus d'Orient Encens Mythique,Guerlain,4.2,0.7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
200,Musc Noble,Guerlain,4.2,0.7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
205,Eau d'orange verte,Hermes,13.5,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
208,RÔSES BERBERANZA,LANCOME,3.4,0.7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
210,J'ADORE,Dior,0.5,0.6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
210,n°5,Chanel,0.5,0.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
210,coco noir,Chanel,0.5,0.45,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
215,n°5,Chanel,6.8,0.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
225,coco mademoiselle,Chanel,6.8,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
240,Amber Musk d’Or,EsteeLauder,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
250,bleu de chanel,Chanel,10,0.2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
280,"Moonlight Serenade, Lavender",Gucci,5,0.4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
290,Rose & White Musk Absolu,JoMalone,3.4,0.4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
340,n°5,Chanel,1,0.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
340,"Winter's Spring, Mimosa",Gucci,3.4,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
370,"The Voice of the Snake, Oud",Gucci,3.4,0.5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
