Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Neutral,Parfume,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
109,Flora By Gucci - Gorgeous Gardenia,Gucci,108,3.4,0.35,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
112,Decadence Eau So Decadent,MarcJacobs,35,3.4,0.7,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2
118,Burberry Brit Rhythm,Burberry,163,6,0.3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
120,BLEU DE CHANEL Eau de Parfum,Chanel,119,3.4,0.2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
120,The Only One 2,DolceGabbana,34,3.3,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
120,Mémoire d'une Odeur Eau de Parfum,Gucci,108,3.3,0.5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
120,Versace Dylan Blue EdP,Versace,41,3.4,0.55,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2
122,Marc Jacobs Decadence,MarcJacobs,35,3.4,0.7,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2
124,Candy Kiss,Prada,116,2.7,0.6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
124,Mon Paris ,YvesSaintLaurent,53,3,0.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
124,Mon Paris Couture ,YvesSaintLaurent,53,3,0.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
126,Bamboo,Gucci,108,2.5,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
130,Aromatics Elixir,Clinique,51,3.4,0.3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
130,J'Adore EdT,Dior,73,3.4,0.55,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
130,Juicy Couture Majestic Woods,JuicyCouture,24,3.4,0.9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
130,Libre,YvesSaintLaurent,53,3,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
135,Men's Luna Rossa,Prada,116,5.1,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
140,L'Ombre dans L'Eau Eau de Toilette,Diptqyue,58,3.4,0.2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
145,SAUVAGE,Dior,73,6.8,0.35,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
145,Mon Paris ,YvesSaintLaurent,53,5,0.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
146,Splendida Magnolia Sensuel,BVLGARI,135,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
150,bleu de chanel,Chanel,119,3.4,0.2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
151,Eau des Merveilles,Hermes,182,3.38,0.6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
155,BLEU DE CHANEL Eau de Parfum,Chanel,119,5,0.2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
159,Rouge Hermes,Hermes,182,3.38,0.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
159,Hiris,Hermes,182,3.38,0.5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
165,Terre d'Hermes ,Hermes,182,6.76,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
166,L'Ambre des Merveilles,Hermes,182,3.38,0.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
170,Private Collection Tuberose Gardenia,EsteeLauder,73,2.5,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
175,FLEUR DE PEAU EAU DE PARFUM,Diptqyue,58,2.5,0.25,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
175,Eau de rhubarbe ecarlate,Hermes,182,6.76,0.4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
175,PIVOINES PRINTEMPS,LANCOME,84,3.4,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
180,Lilac Path,EsteeLauder,73,3.4,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
180,Waterlily Sun,EsteeLauder,73,3.4,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
180,Iris Meadow,EsteeLauder,73,3.4,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
185,Terre d'Hermes ,Hermes,182,6.76,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
190,Myrrh & Tonka Cologne Intense,JoMalone,25,3.4,0.3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2
198,ORANGES BIGARADES,LANCOME,84,3.4,0.7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
198,IRIS DRAGEES,LANCOME,84,3.4,0.7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
200,Absolus d'Orient Musc Noble,Guerlain,191,4.2,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
208,L’AUTRE ÔUD,LANCOME,84,3.3,0.7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
210,coco,Chanel,119,0.5,0.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
210,n°19,Chanel,119,0.5,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
210,MISS DIOR ORIGINAL,Dior,73,0.5,0.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
220,Terre d'Hermes ,Hermes,182,6.76,0.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
240,Amber Musk d’Or,EsteeLauder,73,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
270,Tuberose Angelica Rich Extract,JoMalone,25,3.4,0.35,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2
290,Violet & Amber Absolu,JoMalone,25,3.4,0.4,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2
340,n°5,Chanel,119,1,0.4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
340,"Tears of Iris, Iris",Gucci,108,3.4,0.5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
